@RELATION @user-item

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE value STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_sim STRING

@DATA
0,11,5,actress:+1 isnt:-1 </endperson11>,2;;;;16;;;;128;;;;142;;;;157;;;;242;;;;347;;;;507;;;;600</endperson11>,4;;;;4;;;;4;;;;5;;;;4;;;;4;;;;4;;;;4;;;;4</endperson11>,movies:+1 scenes:-1 ;;;;scenes:+1 ;;;;tension:+1 movie:+1 acting:+1 prom:-1 scene:-1 ;;;;movie:+1 ;;;;acting:+1 ;;;;specialeffects:+1 scenes:+1 scenery:+1 ;;;;films:+1 cast:+1 character:+1 ;;;;movie:+1 ;;;;actor:+1 </endperson11>,0.38178793847204595;;;;0.1830372471915105;;;;0.39175118970677536;;;;0.27624292283531304;;;;0.32132840513561045;;;;0.3552193054007391;;;;0.3412107023929186;;;;0.2654058000402494;;;;0.3397468769106492 </endperson11>
0,12,4,performance:+1 isnt:+1 acting:+1 isnt:-1 </endperson12>,8;;;;631</endperson12>,4;;;;4</endperson12>,tfeel:+1 ;;;;acting:+1 </endperson12>,0.09515437508131053;;;;0.558411895139576 </endperson12>
0,13,3,character:-1 isnt:-1 </endperson13>,369;;;;487;;;;559;;;;586;;;;608;;;;654</endperson13>,4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson13>,isnt:+1 ;;;;character:-1 ;;;;cast:+1 character:-1 ;;;;moments:-1 ;;;;character:+1 moments:+1 plot:+1 character:-1 moments:-1 acting:-1 ;;;;character:+1 characters:+1 character:-1 </endperson13>,0.4952756078997912;;;;0.3041941689244745;;;;0.269137125914533;;;;0.27051822027156014;;;;0.2633679729603733;;;;0.2386367285884432 </endperson13>
0,14,5,viewers:+1 isnt:+1 </endperson14>,27</endperson14>,4</endperson14>, </endperson14>,0.19030875016262105 </endperson14>
0,15,4,actress:+1 character:+1 performance:+1 humour:+1 sdeath:+1 </endperson15>,384</endperson15>,4</endperson15>,character:+1 movie:+1 star:+1 performances:+1 watch:-1 </endperson15>,0.2546515927803914 </endperson15>
0,16,4,soundtrack:+1 isnt:+1 </endperson16>,139;;;;185</endperson16>,4;;;;4</endperson16>,star:+1 movie:+1 ;;;; </endperson16>,0.3821515294374901;;;;0.29691870273900434 </endperson16>
0,17,3,scenes:+1 </endperson17>,35;;;;346;;;;507;;;;529;;;;585</endperson17>,4;;;;4;;;;4;;;;4;;;;4</endperson17>,movie:+1 scenes:+1 plot:-1 ;;;;gadget:-1 ;;;;movie:+1 movie:-1 humour:-1 ;;;;wi:+1 isnt:+1 rating:+1 films:-1 ;;;;movie:+1 isnt:+1 strings:-1 characters:-1 </endperson17>,0.337600261537345;;;;0.23466411912428342;;;;0.2654058000402494;;;;0.34343980569315646;;;;0.29827763944785435 </endperson17>
0,18,2,isnt:+1 specialeffects:+1 character:-1 scenes:-1 </endperson18>,2;;;;732;;;;966</endperson18>,4;;;;4;;;;4</endperson18>,scenes:-1 ;;;;character:+1 character:-1 ;;;;actor:+1 turns:-1 </endperson18>,0.38178793847204595;;;;0.22978605962848753;;;;0.1866703980429283 </endperson18>
0,19,4,films:-1 actress:-1 humour:-1 </endperson19>,7;;;;244;;;;365;;;;577</endperson19>,4;;;;4;;;;4;;;;4</endperson19>,actors:+1 character:+1 comedy:+1 acting:+1 comedy:-1 ;;;;humour:+1 performance:-1 ;;;;actor:+1 actors:-1 scenes:-1 ;;;;character:+1 plot:+1 scenes:+1 movie:-1 disc:-1 </endperson19>,0.4499056942743185;;;;0.41305062939867787;;;;0.3172913283816956;;;;0.41010538516031736 </endperson19>
0,20,4,isnt:+1 scenes:+1 isnt:-1 </endperson20>,7;;;;644</endperson20>,4;;;;4</endperson20>,chemistry:+1 storyline:+1 watch:-1 bonus:-1 ;;;;moments:-1 </endperson20>,0.4499056942743185;;;;0.46046120847751626 </endperson20>
0,21,3,character:-1 isnt:-1 </endperson21>,632;;;;966</endperson21>,3;;;;4</endperson21>,movie:+1 ;;;; </endperson21>,0.22718419551514468;;;;0.1866703980429283 </endperson21>
0,22,4,isnt:+1 character:-1 isnt:-1 </endperson22>,2;;;;124;;;;237</endperson22>,4;;;;4;;;;4</endperson22>, ;;;;rundown:-1 ;;;;actors:+1 isnt:-1 pace:-1 </endperson22>,0.38178793847204595;;;;0.23757309863251053;;;;0.3419140898363835 </endperson22>
0,23,2,character:-1 brothers:-1 horrorfilms:-1 </endperson23>,134</endperson23>,4</endperson23>,horror:+1 </endperson23>,0.4637486956376582 </endperson23>
0,24,4,isnt:+1 horrorfilms:+1 character:-1 isnt:-1 </endperson24>,6;;;;124;;;;139;;;;231;;;;375</endperson24>,4;;;;4;;;;4;;;;5;;;;4</endperson24>,plot:+1 ;;;;films:+1 character:+1 scenes:+1 ;;;;movie:+1 acting:+1 character:-1 plot:-1 ;;;; ;;;;horror:+1 character:-1 movie:-1 disc:-1 </endperson24>,0.14936322554831416;;;;0.23757309863251053;;;;0.3821515294374901;;;;0.5563004014285502;;;;0.24687838364112147 </endperson24>
0,25,3,isnt:+1 </endperson25>,184;;;;501</endperson25>,4;;;;4</endperson25>, ;;;;acting:+1 actors:-1 movie:-1 plot:-1 </endperson25>,0.3969521513646719;;;;0.29734221892053325 </endperson25>
0,26,3,isnt:+1 isnt:-1 scenes:-1 </endperson26>,5;;;;352;;;;369</endperson26>,4;;;;4;;;;4</endperson26>, ;;;;movie:+1 scenes:-1 ;;;; </endperson26>,0.42770691607543665;;;;0.5644511761899107;;;;0.4952756078997912 </endperson26>
0,27,4,character:+1 isnt:+1 scenes:+1 shots:+1 character:-1 moments:-1 </endperson27>,652</endperson27>,4</endperson27>,soundtrack:+1 films:+1 wi:+1 script:+1 moments:-1 tlook:-1 </endperson27>,0.2514559551006039 </endperson27>
0,28,5,films:+1 character:-1 isnt:-1 </endperson28>,</endperson28>,</endperson28>,</endperson28>, </endperson28>
0,29,5,isnt:+1 arent:-1 performance:-1 facialexpressions:-1 </endperson29>,258</endperson29>,4</endperson29>,films:+1 </endperson29>,0.3878050552750396 </endperson29>
0,30,4,humour:+1 character:-1 isnt:-1 </endperson30>,79</endperson30>,4</endperson30>,movie:+1 films:-1 </endperson30>,0.297995157283814 </endperson30>
0,31,3,character:+1 character:-1 </endperson31>,184</endperson31>,4</endperson31>, </endperson31>,0.3969521513646719 </endperson31>
0,32,3, </endperson32>,184;;;;584</endperson32>,4;;;;4</endperson32>,characters:+1 ;;;; </endperson32>,0.3969521513646719;;;;0.44986762311589334 </endperson32>
0,33,3,performance:+1 </endperson33>,585</endperson33>,4</endperson33>,cast:-1 character:-1 </endperson33>,0.29827763944785435 </endperson33>
0,34,3,roles:+1 character:-1 </endperson34>,</endperson34>,</endperson34>,</endperson34>, </endperson34>
0,35,4,isnt:+1 scenery:+1 </endperson35>,5</endperson35>,4</endperson35>, </endperson35>,0.42770691607543665 </endperson35>
0,36,4,character:+1 scenes:+1 moments:-1 isnt:-1 </endperson36>,171;;;;185;;;;242;;;;344</endperson36>,4;;;;4;;;;4;;;;4</endperson36>, ;;;;films:+1 actionsequences:+1 films:-1 credits:-1 ;;;;isnt:+1 snothing:+1 credits:-1 ;;;;movie:+1 </endperson36>,0.2557130372830245;;;;0.29691870273900434;;;;0.3552193054007391;;;;0.3155762661837571 </endperson36>
0,37,4,character:-1 isnt:-1 </endperson37>,79;;;;141;;;;169;;;;382;;;;384;;;;488;;;;587</endperson37>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson37>,stunt:+1 films:-1 ;;;;movie:-1 ;;;;budget:+1 ;;;;chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 ;;;;movie:+1 movie:-1 ;;;;movie:+1 ;;;;character:-1 fightsequences:-1 </endperson37>,0.297995157283814;;;;0.3550494976299823;;;;0.45011316440085514;;;;0.3482143176320496;;;;0.2546515927803914;;;;0.38939784183768067;;;;0.332889042119493 </endperson37>
0,38,3,scenes:+1 </endperson38>,7;;;;111;;;;126;;;;128;;;;157;;;;166;;;;171;;;;188;;;;242;;;;396;;;;539;;;;648</endperson38>,4;;;;3;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4;;;;3</endperson38>,ending:+1 ;;;;ending:+1 scenes:-1 ;;;;acting:+1 ;;;;isnt:-1 ;;;;chemistry:+1 movie:+1 genre:+1 character:-1 ;;;;isnt:+1 movie:-1 ;;;;moments:+1 ;;;;genre:+1 moments:-1 isnt:-1 ;;;; ;;;;movie:+1 isnt:+1 movie:-1 ;;;;chemistry:+1 cast:+1 films:+1 character:+1 ;;;; </endperson38>,0.4499056942743185;;;;0.4267735864444002;;;;0.20566465359991082;;;;0.39175118970677536;;;;0.32132840513561045;;;;0.24862635537992306;;;;0.2557130372830245;;;;0.31896267959754376;;;;0.3552193054007391;;;;0.45208104974829266;;;;0.41660974995193334;;;;0.3150399294313416 </endperson38>
0,39,3,isnt:+1 boyfriend:+1 scenes:+1 films:-1 character:-1 isnt:-1 </endperson39>,96;;;;188;;;;577;;;;663;;;;966</endperson39>,4;;;;4;;;;4;;;;3;;;;4</endperson39>,films:+1 acting:+1 ;;;;movie:+1 ;;;;character:+1 ;;;;cast:+1 ;;;;scenes:+1 movie:-1 </endperson39>,0.27876494576566846;;;;0.31896267959754376;;;;0.41010538516031736;;;;0.2995777410259739;;;;0.1866703980429283 </endperson39>
0,40,5,subtitles:+1 isnt:+1 actor:-1 character:-1 watch:-1 </endperson40>,184;;;;399;;;;501</endperson40>,4;;;;3;;;;4</endperson40>, ;;;;movie:+1 movie:-1 ;;;;movie:+1 </endperson40>,0.3969521513646719;;;;0.39960147021831083;;;;0.29734221892053325 </endperson40>
0,41,4,performance:+1 character:-1 </endperson41>,7;;;;79;;;;81;;;;577;;;;585</endperson41>,4;;;;4;;;;4;;;;4;;;;4</endperson41>,performance:+1 scenes:+1 ;;;;movie:+1 tfeel:+1 films:-1 ;;;;character:+1 movie:+1 ;;;; ;;;;score:+1 </endperson41>,0.4499056942743185;;;;0.297995157283814;;;;0.394738260011674;;;;0.41010538516031736;;;;0.29827763944785435 </endperson41>
0,42,4,isnt:+1 character:-1 </endperson42>,</endperson42>,</endperson42>,</endperson42>, </endperson42>
0,43,3,arent:+1 scenes:+1 script:+1 </endperson43>,</endperson43>,</endperson43>,</endperson43>, </endperson43>
0,44,3,actor:+1 </endperson44>,102;;;;489;;;;578</endperson44>,3;;;;4;;;;4</endperson44>, ;;;;films:+1 performances:-1 ;;;;suspense:+1 </endperson44>,0.5134806632842452;;;;0.4896457970506959;;;;0.3711039868347803 </endperson44>
0,45,5,character:+1 isnt:+1 character:-1 </endperson45>,615</endperson45>,4</endperson45>,character:-1 </endperson45>,0.2187632239947518 </endperson45>
0,46,4,isnt:+1 </endperson46>,185;;;;360</endperson46>,4;;;;3</endperson46>,films:-1 scenes:-1 ;;;;movie:-1 </endperson46>,0.29691870273900434;;;;0.3412187612341626 </endperson46>
0,47,4,halfhour:+1 scenes:+1 performances:+1 </endperson47>,7;;;;139</endperson47>,4;;;;4</endperson47>,bonus:-1 ;;;;movie:+1 </endperson47>,0.4499056942743185;;;;0.3821515294374901 </endperson47>
0,48,4,films:+1 scenes:-1 </endperson48>,79;;;;239;;;;559</endperson48>,4;;;;4;;;;4</endperson48>,baron:+1 craft:+1 lovestory:+1 screenpresence:+1 films:-1 ;;;;actress:+1 vampire:+1 scene:+1 character:-1 pace:-1 ;;;; </endperson48>,0.297995157283814;;;;0.4818592076004522;;;;0.269137125914533 </endperson48>
0,49,2,character:+1 scenes:+1 films:-1 character:-1 </endperson49>,157</endperson49>,4</endperson49>,character:+1 performance:+1 movie:+1 </endperson49>,0.32132840513561045 </endperson49>
0,50,4,tfeel:+1 humour:+1 scenes:+1 moments:-1 </endperson50>,7;;;;71;;;;128;;;;171;;;;382;;;;502;;;;526;;;;577;;;;585</endperson50>,4;;;;4;;;;4;;;;3;;;;4;;;;3;;;;4;;;;4;;;;4</endperson50>,sexreferences:-1 ;;;; ;;;;actress:+1 viewers:+1 movie:+1 isnt:+1 movie:-1 isnt:-1 ;;;; ;;;;films:+1 isnt:+1 ;;;; ;;;;isnt:-1 ;;;;acting:+1 disc:-1 ;;;;character:+1 comedy:+1 performances:+1 isnt:-1 tfeel:-1 </endperson50>,0.4499056942743185;;;;0.43934199164784293;;;;0.39175118970677536;;;;0.2557130372830245;;;;0.3482143176320496;;;;0.3201202488630659;;;;0.3065782638385739;;;;0.41010538516031736;;;;0.29827763944785435 </endperson50>
0,51,1,isnt:+1 </endperson51>,585</endperson51>,4</endperson51>,character:+1 brass:-1 </endperson51>,0.29827763944785435 </endperson51>
0,52,3,character:+1 </endperson52>,377;;;;489;;;;633;;;;685</endperson52>,3;;;;4;;;;4;;;;4</endperson52>,specialeffects:+1 directing:+1 ;;;;performances:+1 films:-1 character:-1 ;;;; ;;;;movie:+1 movie:-1 </endperson52>,0.4216458014949376;;;;0.4896457970506959;;;;0.43444797296955984;;;;0.3450051329276401 </endperson52>
0,53,5,accent:+1 actors:-1 </endperson53>,134</endperson53>,4</endperson53>,script:+1 character:-1 </endperson53>,0.4637486956376582 </endperson53>
0,54,4,performance:+1 isnt:+1 werent:-1 acting:-1 </endperson54>,2</endperson54>,4</endperson54>,movie:+1 movies:-1 movie:-1 budget:-1 scene:-1 </endperson54>,0.38178793847204595 </endperson54>
0,55,4,actors:-1 isnt:-1 </endperson55>,128</endperson55>,4</endperson55>,movie:+1 specialeffects:+1 isnt:-1 </endperson55>,0.39175118970677536 </endperson55>
0,56,3,isnt:+1 actors:-1 character:-1 </endperson56>,135;;;;157;;;;170</endperson56>,4;;;;4;;;;4</endperson56>,actors:-1 character:-1 ;;;;tlook:+1 character:-1 ;;;;character:+1 movie:+1 cinematography:+1 character:-1 </endperson56>,0.33449841126977853;;;;0.32132840513561045;;;;0.18763144165394197 </endperson56>
0,57,2,arent:+1 isnt:-1 tlook:-1 </endperson57>,128</endperson57>,3</endperson57>,soundtrack:+1 movie:+1 script:-1 </endperson57>,0.39175118970677536 </endperson57>
0,58,5,actor:+1 performance:+1 disc:-1 </endperson58>,381;;;;587</endperson58>,4;;;;4</endperson58>, ;;;; </endperson58>,0.5466287690406021;;;;0.332889042119493 </endperson58>
0,59,3,disc:-1 </endperson59>,2;;;;7;;;;75;;;;81;;;;150;;;;169;;;;171;;;;173;;;;242;;;;377;;;;386;;;;486;;;;526;;;;559;;;;577;;;;585;;;;607;;;;608;;;;644</endperson59>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson59>,movies:+1 character:+1 movie:+1 audiences:+1 actor:-1 ;;;;films:-1 disk:-1 disc:-1 ;;;;films:-1 ;;;;chemistry:+1 films:-1 reviews:-1 ;;;;chemistry:+1 cast:+1 films:-1 ;;;;wi:+1 ;;;;films:+1 specialeffects:+1 ;;;; ;;;;stunt:+1 plot:-1 scene:-1 ;;;;specialeffects:+1 ;;;;villain:-1 movie:-1 ;;;;stunts:-1 ;;;;soundtrack:+1 ;;;;turns:+1 ;;;;films:+1 movie:+1 ;;;;director:+1 motifs:-1 ;;;;movie:+1 isnt:-1 ;;;;character:+1 script:-1 ;;;;isnt:+1 watch:-1 </endperson59>,0.38178793847204595;;;;0.4499056942743185;;;;0.3859881904044047;;;;0.394738260011674;;;;0.39768676456794494;;;;0.45011316440085514;;;;0.2557130372830245;;;;0.13456860775912582;;;;0.3552193054007391;;;;0.4216458014949376;;;;0.3519451729512354;;;;0.25714632000730275;;;;0.3065782638385739;;;;0.269137125914533;;;;0.41010538516031736;;;;0.29827763944785435;;;;0.43986962919900663;;;;0.2633679729603733;;;;0.46046120847751626 </endperson59>
0,60,3,performance:+1 character:-1 </endperson60>,</endperson60>,</endperson60>,</endperson60>, </endperson60>
0,61,3,isnt:+1 extras:+1 isnt:-1 </endperson61>,73</endperson61>,4</endperson61>,films:+1 plot:+1 isnt:+1 isnt:-1 </endperson61>,0.4614838879268216 </endperson61>
0,62,3,character:+1 character:-1 </endperson62>,185</endperson62>,4</endperson62>,films:+1 plot:-1 </endperson62>,0.29691870273900434 </endperson62>
0,63,4,character:+1 humour:+1 actors:-1 character:-1 </endperson63>,5;;;;7;;;;146;;;;241;;;;242;;;;363;;;;643</endperson63>,4;;;;4;;;;4;;;;4;;;;4;;;;5;;;;4</endperson63>, ;;;;scenes:+1 acting:+1 humour:-1 scenes:-1 ;;;;isnt:+1 ;;;;pirateradio:-1 ;;;;soundtrack:+1 character:+1 ;;;;acting:+1 character:-1 watch:-1 ;;;; </endperson63>,0.42770691607543665;;;;0.4499056942743185;;;;0.16579270667424773;;;;0.38712622582098444;;;;0.3552193054007391;;;;0.38122734399964986;;;;0.48066649687906593 </endperson63>
0,64,3,isnt:+1 actionfilms:+1 reviews:-1 credits:-1 </endperson64>,7;;;;382;;;;392;;;;577;;;;585</endperson64>,4;;;;4;;;;4;;;;4;;;;4</endperson64>,chemistry:+1 ending:-1 ;;;;acting:+1 films:-1 ;;;;fightscenes:+1 acting:+1 watch:-1 ;;;;character:+1 stoner:-1 ;;;;actors:+1 movie:+1 charactercomedy:-1 strings:-1 stoners:-1 percussion:-1 </endperson64>,0.4499056942743185;;;;0.3482143176320496;;;;0.39835835455999613;;;;0.41010538516031736;;;;0.29827763944785435 </endperson64>
0,65,4,performance:+1 character:-1 credits:-1 isnt:-1 </endperson65>,608;;;;724</endperson65>,4;;;;4</endperson65>,performance:+1 director:+1 scenes:+1 ;;;; </endperson65>,0.2633679729603733;;;;0.34799578440612566 </endperson65>
0,66,3,isnt:+1 discversion:+1 actor:-1 isnt:-1 tanything:-1 </endperson66>,</endperson66>,</endperson66>,</endperson66>, </endperson66>
0,67,5,isnt:+1 performances:+1 character:-1 plot:-1 </endperson67>,7</endperson67>,4</endperson67>, </endperson67>,0.4499056942743185 </endperson67>
0,68,5,character:+1 isnt:+1 character:-1 </endperson68>,</endperson68>,</endperson68>,</endperson68>, </endperson68>
0,69,4,humour:-1 </endperson69>,7;;;;396;;;;654</endperson69>,4;;;;4;;;;4</endperson69>,moments:+1 chemistry:-1 moments:-1 ;;;;actor:+1 comedy:+1 movie:-1 plot:-1 scenes:-1 mom:-1 ;;;;actor:+1 films:+1 scene:+1 </endperson69>,0.4499056942743185;;;;0.45208104974829266;;;;0.2386367285884432 </endperson69>
0,70,4,ending:+1 arent:+1 performance:+1 isnt:+1 discversion:+1 scenes:-1 </endperson70>,138;;;;242;;;;587</endperson70>,4;;;;4;;;;3</endperson70>,cast:+1 ;;;; ;;;; </endperson70>,0.33202519520501106;;;;0.3552193054007391;;;;0.332889042119493 </endperson70>
0,71,4,performance:+1 </endperson71>,378;;;;600</endperson71>,4;;;;4</endperson71>,character:-1 performance:-1 ;;;;cast:+1 </endperson71>,0.338283242695796;;;;0.3397468769106492 </endperson71>
0,72,4, </endperson72>,2;;;;7;;;;75;;;;79;;;;103;;;;128;;;;134;;;;157;;;;242;;;;341;;;;384;;;;387;;;;518;;;;539;;;;549;;;;643;;;;901</endperson72>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3;;;;4;;;;4;;;;4;;;;4</endperson72>,movies:-1 ;;;; ;;;;performances:+1 movie:-1 isnt:-1 ;;;;cinemas:+1 wi:+1 movie:-1 plot:-1 ;;;; ;;;;performance:+1 movie:-1 ;;;;storyline:+1 films:-1 ;;;;actors:+1 isnt:-1 credits:-1 ;;;;plot:+1 actionscenes:+1 ;;;;plot:+1 ;;;;movie:-1 tanything:-1 ;;;; ;;;;movie:+1 ;;;; ;;;;character:+1 ;;;;scenes:-1 ;;;; </endperson72>,0.38178793847204595;;;;0.4499056942743185;;;;0.3859881904044047;;;;0.297995157283814;;;;0.38221160620598216;;;;0.39175118970677536;;;;0.4637486956376582;;;;0.32132840513561045;;;;0.3552193054007391;;;;0.2793998321409201;;;;0.2546515927803914;;;;0.3716001520657517;;;;0.3116189377913938;;;;0.41660974995193334;;;;0.376376386816754;;;;0.48066649687906593;;;;0.4096735034815129 </endperson72>
0,73,5,actors:+1 </endperson73>,</endperson73>,</endperson73>,</endperson73>, </endperson73>
0,74,2,specialeffects:+1 plot:-1 </endperson74>,</endperson74>,</endperson74>,</endperson74>, </endperson74>
0,75,4,character:-1 </endperson75>,</endperson75>,</endperson75>,</endperson75>, </endperson75>
0,76,3,movie:+1 isnt:+1 truck:-1 video:-1 </endperson76>,2;;;;96;;;;122;;;;124;;;;237;;;;244;;;;654</endperson76>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson76>,movies:+1 director:+1 movie:-1 ;;;; ;;;;screenplay:+1 cast:-1 character:-1 ;;;;actors:+1 wi:+1 movie:+1 scenes:-1 video:-1 sequences:-1 ;;;;movie:+1 ;;;;films:+1 character:+1 acting:+1 ;;;;scene:+1 </endperson76>,0.38178793847204595;;;;0.27876494576566846;;;;0.4348613395340404;;;;0.23757309863251053;;;;0.3419140898363835;;;;0.41305062939867787;;;;0.2386367285884432 </endperson76>
0,77,4,scenes:+1 daughters:+1 performances:+1 </endperson77>,310;;;;377;;;;402</endperson77>,4;;;;3;;;;5</endperson77>,star:+1 director:+1 beau:-1 ;;;; ;;;; </endperson77>,0.2914332506595766;;;;0.4216458014949376;;;;0.2810585775637804 </endperson77>
0,78,4,plot:-1 acting:-1 </endperson78>,7;;;;120;;;;150;;;;382;;;;553;;;;574;;;;576</endperson78>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson78>,character:+1 ;;;;films:-1 plot:-1 ;;;;acting:+1 acting:-1 ;;;;films:+1 ;;;;films:+1 character:+1 character:-1 ;;;; ;;;;acting:+1 scenes:-1 </endperson78>,0.4499056942743185;;;;0.25908845823655513;;;;0.39768676456794494;;;;0.3482143176320496;;;;0.45749824559021324;;;;0.4333193381803673;;;;0.29492922161043356 </endperson78>
0,79,5,isnt:+1 character:-1 isnt:-1 </endperson79>,79;;;;81;;;;128;;;;585</endperson79>,4;;;;4;;;;4;;;;4</endperson79>,actors:+1 ;;;; ;;;; ;;;;character:+1 acting:-1 </endperson79>,0.297995157283814;;;;0.394738260011674;;;;0.39175118970677536;;;;0.29827763944785435 </endperson79>
0,80,4,isnt:+1 scenes:+1 films:-1 isnt:-1 </endperson80>,150;;;;395</endperson80>,4;;;;4</endperson80>,isnt:-1 ;;;;character:-1 movie:-1 </endperson80>,0.39768676456794494;;;;0.5029398213652321 </endperson80>
0,81,5,isnt:+1 films:-1 </endperson81>,237</endperson81>,5</endperson81>, </endperson81>,0.3419140898363835 </endperson81>
0,82,3,isnt:-1 watch:-1 </endperson82>,</endperson82>,</endperson82>,</endperson82>, </endperson82>
0,83,3,performance:+1 isnt:+1 humour:+1 isnt:-1 </endperson83>,129;;;;183;;;;185</endperson83>,3;;;;4;;;;4</endperson83>,director:-1 ;;;;ending:+1 films:+1 masterpiece:+1 gum:-1 ;;;;comedy:+1 budget:+1 nudity:-1 </endperson83>,0.41481616972839697;;;;0.2793998321439718;;;;0.29691870273900434 </endperson83>
0,84,4,actors:+1 loveaffair:+1 character:-1 isnt:-1 </endperson84>,5;;;;79;;;;390;;;;585;;;;666</endperson84>,4;;;;4;;;;3;;;;4;;;;4</endperson84>, ;;;;bourgeois:+1 actresses:+1 wi:+1 ;;;;wasnt:-1 ;;;;isnt:+1 woodwinds:-1 ;;;; </endperson84>,0.42770691607543665;;;;0.297995157283814;;;;0.29565855440584077;;;;0.29827763944785435;;;;0.4075277853679602 </endperson84>
0,85,4,character:-1 </endperson85>,2;;;;4;;;;7;;;;79;;;;81;;;;99;;;;142;;;;235;;;;244;;;;359;;;;382;;;;559;;;;577;;;;587;;;;588;;;;630</endperson85>,4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;5;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;4;;;;3</endperson85>,movie:-1 plot:-1 ;;;; ;;;;actress:+1 storyline:+1 ;;;;films:+1 wi:+1 studios:-1 movie:-1 script:-1 ;;;;wi:+1 movie:+1 ;;;;plot:+1 specialfeatures:-1 ;;;; ;;;; ;;;;films:+1 ;;;;plot:+1 scenes:+1 oscars:+1 ;;;; ;;;;character:+1 movie:+1 performances:+1 plot:-1 watch:-1 ;;;;tlook:+1 character:-1 ;;;;scenery:+1 ;;;;scenes:-1 ;;;; </endperson85>,0.38178793847204595;;;;0.5245876900862114;;;;0.4499056942743185;;;;0.297995157283814;;;;0.394738260011674;;;;0.3879642258158418;;;;0.27624292283531304;;;;0.2428278655051197;;;;0.41305062939867787;;;;0.37159190391080354;;;;0.3482143176320496;;;;0.269137125914533;;;;0.41010538516031736;;;;0.332889042119493;;;;0.2963991963007666;;;;0.2738385766261404 </endperson85>
